date,close,volume,open,high,low
16:00,1.4,"27,953,932",1.43,1.435,1.37
8/12/2019,1.395,29552380,1.43,1.435,1.37
8/9/2019,1.44,42325550,1.46,1.495,1.41
8/8/2019,1.47,87454370,1.42,1.48,1.39
8/7/2019,1.39,72131690,1.36,1.4,1.26
8/6/2019,1.39,93901670,1.65,1.66,1.38
8/5/2019,1.56,79462590,1.59,1.62,1.51
8/2/2019,1.64,20545590,1.69,1.69,1.63
8/1/2019,1.65,55688680,1.78,1.79,1.62
7/31/2019,1.81,59981250,1.82,1.87,1.77
7/30/2019,1.8,62120390,1.63,1.8,1.59
7/29/2019,1.64,37244460,1.65,1.68,1.59
7/26/2019,1.65,38567480,1.69,1.71,1.62
7/25/2019,1.68,55856420,1.76,1.78,1.68
7/24/2019,1.73,44547530,1.67,1.76,1.67
7/23/2019,1.68,37356900,1.65,1.68,1.62
7/22/2019,1.64,40991400,1.64,1.7,1.6
7/19/2019,1.62,42778150,1.61,1.64,1.57
7/18/2019,1.58,79231960,1.71,1.71,1.57
7/17/2019,1.7,54306710,1.79,1.8,1.7
7/16/2019,1.77,58215830,1.83,1.84,1.76
7/15/2019,1.83,55407220,1.93,1.93,1.83
7/12/2019,1.93,41096440,1.91,1.96,1.89
7/11/2019,1.9,32042770,1.91,1.93,1.88
7/10/2019,1.91,52430000,1.83,1.92,1.82
7/9/2019,1.81,43713520,1.8,1.82,1.76
7/8/2019,1.81,44958000,1.84,1.85,1.8
7/5/2019,1.85,38572250,1.85,1.87,1.8
7/3/2019,1.84,30928370,1.91,1.92,1.83
7/2/2019,1.85,117111500,1.95,1.95,1.85
7/1/2019,1.96,62554640,2.05,2.08,1.93
6/28/2019,1.95,54714170,1.93,1.97,1.9
6/27/2019,1.88,25231410,1.89,1.91,1.86
6/26/2019,1.91,37996170,1.88,1.95,1.84
6/25/2019,1.83,52753150,1.89,1.91,1.8
6/24/2019,1.91,41974580,1.97,1.99,1.87
6/21/2019,1.95,70901920,2.01,2.03,1.89
6/20/2019,1.98,86942420,1.915,2,1.89
6/19/2019,1.83,37838480,1.9,1.91,1.82
6/18/2019,1.9,45442360,1.83,1.94,1.8209
6/17/2019,1.83,41502830,1.75,1.85,1.73
6/14/2019,1.77,45054970,1.82,1.82,1.75
6/13/2019,1.83,55318100,1.83,1.86,1.75
6/12/2019,1.76,61012700,1.88,1.89,1.75
6/11/2019,1.9,24540060,1.92,1.96,1.89
6/10/2019,1.89,34574520,1.92,1.99,1.88
6/7/2019,1.89,36415780,1.89,1.97,1.86
6/6/2019,1.91,41574660,1.9,1.92,1.83
6/5/2019,1.88,46213360,2.02,2.03,1.85
6/4/2019,2.01,48847590,1.99,2.08,1.99
6/3/2019,1.96,39152360,1.94,1.99,1.92
5/31/2019,1.92,39607230,1.95,1.98,1.9
5/30/2019,2.04,42451530,2.12,2.14,1.99
5/29/2019,2.14,67439480,1.9,2.16,1.9
5/28/2019,1.94,45351270,2.01,2.03,1.91
5/24/2019,2.01,36347330,2.125,2.13,2
5/23/2019,2.06,51865250,2.08,2.09,1.97
5/22/2019,2.19,39691130,2.33,2.34,2.19
5/21/2019,2.38,30723640,2.32,2.4,2.29
5/20/2019,2.3,41891160,2.4,2.41,2.27
5/17/2019,2.41,42292610,2.47,2.5,2.39
5/16/2019,2.53,45068030,2.55,2.6,2.5
5/15/2019,2.5,33744750,2.48,2.51,2.43
5/14/2019,2.56,40551930,2.45,2.56,2.42
5/13/2019,2.4,68601670,2.53,2.55,2.32
5/10/2019,2.61,55221980,2.67,2.68,2.53
5/9/2019,2.68,77625890,2.82,2.83,2.61
5/8/2019,2.89,69736120,2.68,2.94,2.68
5/7/2019,2.78,62143660,2.84,2.86,2.73
5/6/2019,2.89,46177060,2.73,2.9,2.73
5/3/2019,2.82,29503140,2.76,2.87,2.74
5/2/2019,2.73,53345560,2.78,2.87,2.7
5/1/2019,2.83,43598800,2.9,2.91,2.8
4/30/2019,2.91,41265290,2.99,2.99,2.86
4/29/2019,2.95,19725530,2.98,3.01,2.93
4/26/2019,2.97,47815510,2.9,3.01,2.87
4/25/2019,2.94,31014630,3.07,3.075,2.94
4/24/2019,3.07,31749320,3.17,3.18,3.05
4/23/2019,3.17,34941600,3.12,3.2,3.09
4/22/2019,3.1,33200210,3.02,3.12,2.98
4/18/2019,2.91,42465590,3.08,3.08,2.9
4/17/2019,3.06,27974500,3.13,3.15,3.06
4/16/2019,3.09,29100240,3.09,3.12,3.05
4/15/2019,3.07,37457700,3.14,3.15,3.06
4/12/2019,3.17,74913970,3.38,3.395,3.15
4/11/2019,3.33,39988890,3.36,3.425,3.27
4/10/2019,3.4,36045880,3.36,3.44,3.33
4/9/2019,3.34,47243960,3.43,3.43,3.31
4/8/2019,3.44,52546170,3.46,3.57,3.38
4/5/2019,3.41,64530740,3.21,3.46,3.2
4/4/2019,3.21,29740420,3.14,3.21,3.12
4/3/2019,3.14,45747270,3.21,3.23,3.1
4/2/2019,3.2,42847320,3.16,3.23,3.15
4/1/2019,3.15,39038520,3.15,3.21,3.12
3/29/2019,3.1,40521880,3.19,3.21,3.09
3/28/2019,3.14,33166070,3.12,3.19,3.09
3/27/2019,3.19,36279400,3.19,3.24,3.07
3/26/2019,3.19,39399430,3.2,3.26,3.16
3/25/2019,3.1,35461050,3.1,3.14,2.99
3/22/2019,3.12,50097760,3.19,3.21,3.03
3/21/2019,3.25,44560530,3.25,3.32,3.2
3/20/2019,3.26,61785700,3.12,3.35,3.1
3/19/2019,3.16,58572390,3.23,3.38,3.13
3/18/2019,3.15,35803340,3.02,3.17,3.01
3/15/2019,2.97,47707650,3.07,3.095,2.96
