date,close,volume,open,high,low
16:00,2.38,"8,284,580",2.415,2.435,2.26
8/12/2019,2.375,8943722,2.42,2.435,2.26
8/9/2019,2.44,8212031,2.55,2.6,2.43
8/8/2019,2.59,7535800,2.61,2.65,2.57
8/7/2019,2.59,9385985,2.58,2.62,2.51
8/6/2019,2.65,8569374,2.69,2.73,2.56
8/5/2019,2.68,10965230,2.6,2.705,2.585
8/2/2019,2.73,11865810,2.76,2.76,2.59
8/1/2019,2.77,14789100,2.81,2.935,2.7
7/31/2019,2.82,15496080,2.95,2.96,2.75
7/30/2019,3,30244140,2.55,3.03,2.51
7/29/2019,2.54,8119579,2.5,2.55,2.45
7/26/2019,2.48,4839969,2.46,2.49,2.4
7/25/2019,2.46,9131572,2.57,2.585,2.4
7/24/2019,2.59,8777632,2.46,2.595,2.45
7/23/2019,2.5,12086010,2.45,2.52,2.435
7/22/2019,2.42,10319760,2.43,2.48,2.38
7/19/2019,2.41,9703871,2.24,2.43,2.22
7/18/2019,2.22,6645190,2.26,2.3,2.19
7/17/2019,2.28,10066980,2.3,2.33,2.18
7/16/2019,2.3,10716510,2.18,2.36,2.1601
7/15/2019,2.17,5503563,2.18,2.19,2.0816
7/12/2019,2.14,7819105,2.07,2.16,2.06
7/11/2019,2.05,6784434,2.1,2.12,2.04
7/10/2019,2.09,5668060,2.15,2.17,2.07
7/9/2019,2.13,6867592,2.16,2.175,2.05
7/8/2019,2.17,5432424,2.25,2.3,2.16
7/5/2019,2.27,4580656,2.19,2.29,2.18
7/3/2019,2.21,5010170,2.26,2.293,2.16
7/2/2019,2.26,7968440,2.37,2.37,2.23
7/1/2019,2.37,5420551,2.41,2.4299,2.35
6/28/2019,2.37,12376860,2.3,2.37,2.25
6/27/2019,2.28,7586872,2.3,2.34,2.23
6/26/2019,2.3,7212242,2.19,2.32,2.18
6/25/2019,2.17,8852730,2.15,2.235,2.09
6/24/2019,2.14,7143790,2.24,2.26,2.11
6/21/2019,2.24,8481533,2.19,2.25,2.19
6/20/2019,2.2,10433290,2.34,2.36,2.2
6/19/2019,2.29,9745165,2.3,2.35,2.23
6/18/2019,2.21,13063920,2.1,2.27,2.06
6/17/2019,2.09,5981479,2.05,2.11,1.97
6/14/2019,2.06,5141886,2.12,2.13,2.02
6/13/2019,2.15,5135523,2.09,2.15,2.06
6/12/2019,2.06,4283042,2.08,2.1,2.04
6/11/2019,2.11,7058660,2.15,2.16,2.08
6/10/2019,2.05,8233925,2.05,2.14,2.025
6/7/2019,2,3880103,1.97,2.02,1.92
6/6/2019,1.97,4313795,1.9,1.98,1.9
6/5/2019,1.94,6912217,2.03,2.06,1.9
6/4/2019,2.02,13141630,1.92,2.085,1.9
6/3/2019,1.87,10832420,1.73,1.91,1.73
5/31/2019,1.72,9648552,1.71,1.74,1.66
5/30/2019,1.74,9637815,1.84,1.87,1.71
5/29/2019,1.85,4985370,1.86,1.88,1.81
5/28/2019,1.91,16968580,2.01,2.01,1.75
5/24/2019,1.99,11422830,2.15,2.18,1.99
5/23/2019,2.14,15022560,2.1,2.2,2.03
5/22/2019,2.22,6380824,2.29,2.31,2.19
5/21/2019,2.3,4632710,2.28,2.37,2.27
5/20/2019,2.26,7348039,2.33,2.35,2.25
5/17/2019,2.36,7332659,2.29,2.42,2.26
5/16/2019,2.34,3474111,2.36,2.39,2.31
5/15/2019,2.33,5776768,2.29,2.37,2.255
5/14/2019,2.33,4096847,2.31,2.34,2.25
5/13/2019,2.27,9536237,2.35,2.37,2.19
5/10/2019,2.44,5171812,2.42,2.46,2.4
5/9/2019,2.45,3995168,2.4,2.48,2.38
5/8/2019,2.44,5905534,2.5,2.53,2.43
5/7/2019,2.52,5674480,2.53,2.58,2.49
5/6/2019,2.58,7312044,2.44,2.61,2.44
5/3/2019,2.55,11728000,2.36,2.56,2.34
5/2/2019,2.32,8903670,2.31,2.335,2.25
5/1/2019,2.33,12038890,2.4,2.44,2.32
4/30/2019,2.42,14108750,2.5,2.5,2.37
4/29/2019,2.46,12626790,2.46,2.48,2.38
4/26/2019,2.39,5704321,2.4,2.43,2.35
4/25/2019,2.37,6249597,2.49,2.49,2.36
4/24/2019,2.47,5391807,2.47,2.52,2.43
4/23/2019,2.47,4608456,2.44,2.5,2.41
4/22/2019,2.43,5768715,2.46,2.5,2.39
4/18/2019,2.45,9269904,2.52,2.55,2.42
4/17/2019,2.52,6601966,2.51,2.61,2.5
4/16/2019,2.51,7311374,2.46,2.52,2.45
4/15/2019,2.45,6413536,2.53,2.53,2.42
4/12/2019,2.51,5965898,2.59,2.63,2.51
4/11/2019,2.54,17486760,2.75,2.7516,2.49
4/10/2019,2.77,6410252,2.78,2.8,2.73
4/9/2019,2.76,6493486,2.86,2.89,2.74
4/8/2019,2.93,3953385,2.91,2.96,2.89
4/5/2019,2.93,5052124,2.89,2.95,2.88
4/4/2019,2.88,4981221,2.84,2.9,2.81
4/3/2019,2.83,6749354,2.86,2.92,2.805
4/2/2019,2.83,4021186,2.86,2.86,2.785
4/1/2019,2.85,9733247,2.79,2.89,2.76
3/29/2019,2.75,5218631,2.78,2.82,2.735
3/28/2019,2.75,4600455,2.76,2.79,2.7
3/27/2019,2.75,6209856,2.72,2.76,2.66
3/26/2019,2.71,7579528,2.7,2.76,2.68
3/25/2019,2.63,5999230,2.65,2.73,2.61
3/22/2019,2.65,9623353,2.76,2.8,2.62
3/21/2019,2.82,7303463,2.68,2.84,2.67
3/20/2019,2.69,7320725,2.7,2.75,2.61
3/19/2019,2.7,6527452,2.77,2.8,2.68
3/18/2019,2.75,6215095,2.75,2.79,2.7
3/15/2019,2.73,8869753,2.78,2.8,2.69
3/14/2019,2.75,7067678,2.85,2.85,2.74
3/13/2019,2.85,7883496,2.84,2.885,2.81
3/12/2019,2.82,8783108,2.77,2.9,2.76
3/11/2019,2.75,10153570,2.66,2.77,2.6
3/8/2019,2.61,7640293,2.6,2.68,2.56
3/7/2019,2.69,12750820,2.78,2.785,2.64
3/6/2019,2.79,13557020,2.95,2.97,2.77
3/5/2019,2.95,6678840,3,3.02,2.93
3/4/2019,3.01,9871438,3.05,3.07,2.92
3/1/2019,3.04,8842097,3.05,3.11,2.98
2/28/2019,3.02,10616750,3.13,3.135,3
2/27/2019,3.12,7094007,3.17,3.22,3.1
2/26/2019,3.17,6646545,3.14,3.21,3.13
2/25/2019,3.15,8590360,3.18,3.215,3.12
2/22/2019,3.16,9786761,3.25,3.25,3.09
2/21/2019,3.21,9646850,3.24,3.25,3.16
2/20/2019,3.19,16250310,3.14,3.29,3.12
2/19/2019,3.12,12982510,2.98,3.16,2.98
2/15/2019,2.98,8694184,3.03,3.09,2.96
2/14/2019,2.99,5800412,2.97,3.03,2.93
2/13/2019,2.98,7190385,3.01,3.05,2.96
2/12/2019,2.98,10060340,2.93,3.03,2.89
2/11/2019,2.9,12837250,2.99,3.02,2.86
2/8/2019,2.92,15930510,3.09,3.12,2.87
2/7/2019,3.13,18987060,3.16,3.185,3.03
2/6/2019,3.21,14254360,3.19,3.24,3.07
2/5/2019,3.16,16665520,3.01,3.19,3
2/4/2019,3,8702474,2.91,3.03,2.9
2/1/2019,2.94,16662920,2.96,3.02,2.84
1/31/2019,2.95,13892620,2.9,3.05,2.87
1/30/2019,2.9,26317260,2.74,2.95,2.52
1/29/2019,2.83,23164690,2.75,2.93,2.61
1/28/2019,2.7,15070620,2.8,2.81,2.52
1/25/2019,2.8,11445860,2.67,2.81,2.65
1/24/2019,2.62,5244705,2.62,2.6762,2.59
1/23/2019,2.62,8240665,2.7,2.72,2.59
1/22/2019,2.68,9037837,2.72,2.72,2.6
1/18/2019,2.72,8136629,2.79,2.79,2.71
1/17/2019,2.76,8232348,2.65,2.78,2.65
1/16/2019,2.69,8129713,2.69,2.72,2.64
1/15/2019,2.68,6453657,2.75,2.76,2.66
1/14/2019,2.74,6588847,2.73,2.8,2.71
1/11/2019,2.79,8022996,2.68,2.8,2.62
1/10/2019,2.7,12532180,2.75,2.76,2.595
1/9/2019,2.76,10281420,2.75,2.775,2.63
1/8/2019,2.69,9934338,2.62,2.73,2.59
1/7/2019,2.57,10967000,2.65,2.65,2.51
1/4/2019,2.56,18777700,2.31,2.63,2.3
1/3/2019,2.25,8774124,2.36,2.39,2.24
1/2/2019,2.39,8599222,2.18,2.45,2.16
12/31/2018,2.25,10107370,2.34,2.36,2.19
12/28/2018,2.27,9046914,2.29,2.37,2.24
12/27/2018,2.29,9907720,2.21,2.3,2.19
12/26/2018,2.25,11827770,2.2,2.26,2.05
12/24/2018,2.16,8745827,2.3,2.35,2.14
12/21/2018,2.32,21023730,2.5,2.5,2.28
12/20/2018,2.45,11794580,2.53,2.59,2.42
12/19/2018,2.49,10090780,2.63,2.72,2.47
12/18/2018,2.61,6761045,2.6,2.69,2.58
12/17/2018,2.57,8272928,2.58,2.73,2.53
12/14/2018,2.58,8229968,2.61,2.7,2.56
12/13/2018,2.64,10063680,2.77,2.785,2.63
12/12/2018,2.77,9045468,2.81,2.84,2.74
12/11/2018,2.75,10429890,2.85,2.93,2.74
12/10/2018,2.77,12689620,2.83,2.86,2.65
12/7/2018,2.84,9511508,2.98,3.03,2.82
12/6/2018,2.95,14637170,3.06,3.08,2.9
12/4/2018,3.09,10998750,3.24,3.25,3.09
12/3/2018,3.26,14524830,3.19,3.3,3.16
11/30/2018,3.08,8167749,3.11,3.18,3.06
11/29/2018,3.13,10240940,3.25,3.31,3.06
11/28/2018,3.27,17883330,3.14,3.32,3.03
11/27/2018,3.12,24003990,3.21,3.22,2.98
11/26/2018,3.27,10434930,3.44,3.48,3.25
11/23/2018,3.41,3724650,3.47,3.52,3.4
11/21/2018,3.54,5012807,3.53,3.62,3.48
11/20/2018,3.47,14082260,3.58,3.61,3.37
11/19/2018,3.64,9389624,3.76,3.78,3.64
11/16/2018,3.75,5607362,3.71,3.84,3.71
11/15/2018,3.75,4849253,3.68,3.78,3.645
11/14/2018,3.69,6036762,3.74,3.8,3.64
11/13/2018,3.71,7566731,3.6,3.795,3.6
11/12/2018,3.6,6952795,3.64,3.665,3.51
11/9/2018,3.66,12478680,3.77,3.81,3.64
11/8/2018,3.82,9551233,3.91,3.96,3.79
11/7/2018,3.91,7038890,3.88,3.98,3.86
11/6/2018,3.83,7990122,3.83,3.95,3.8
11/5/2018,3.83,8595750,3.97,3.99,3.78
11/2/2018,3.97,10669650,3.85,4.03,3.82
11/1/2018,3.8,10645070,3.78,3.875,3.67
10/31/2018,3.7,13735070,3.6,3.72,3.53
10/30/2018,3.5,20723560,3.6,3.64,3.42
10/29/2018,3.65,18336390,3.87,3.95,3.5602
10/26/2018,3.81,40441350,3.64,3.93,3.55
10/25/2018,4.22,23057110,4.2,4.35,4.15
10/24/2018,4.13,13444550,4.43,4.485,4.12
10/23/2018,4.46,11171840,4.41,4.47,4.29
10/22/2018,4.51,5270494,4.45,4.54,4.43
10/19/2018,4.44,11296110,4.7,4.7,4.43
10/18/2018,4.67,6917279,4.79,4.79,4.63
10/17/2018,4.81,8545864,4.71,4.81,4.58
10/16/2018,4.74,6838997,4.71,4.79,4.61
10/15/2018,4.66,9893163,4.63,4.77,4.57
10/12/2018,4.63,7860274,4.56,4.68,4.52
10/11/2018,4.51,8532268,4.52,4.66,4.44
10/10/2018,4.57,12518280,4.78,4.805,4.56
