date,close,volume,open,high,low
16:00,6.32,"1,003,670",6.62,6.62,6.31
8/12/2019,6.32,1003670,6.62,6.62,6.31
8/9/2019,6.69,769497,7.09,7.09,6.68
8/8/2019,7.11,835984,6.84,7.13,6.81
8/7/2019,6.81,899363,6.69,6.83,6.6
8/6/2019,6.86,872815,7.15,7.19,6.74
8/5/2019,7.02,902704,6.82,7.0566,6.64
8/2/2019,7.02,1415283,7.52,7.52,6.8
8/1/2019,7.03,1465891,7.08,7.34,6.96
7/31/2019,7.19,1261063,7.37,7.42,7.075
7/30/2019,7.37,1064818,7.01,7.43,6.95
7/29/2019,7.14,1373167,7.33,7.42,6.94
7/26/2019,7.33,994507,7.32,7.39,7.23
7/25/2019,7.32,1774410,7.83,7.83,7.1519
7/24/2019,7.83,1144103,7.46,7.885,7.46
7/23/2019,7.53,986322,7.58,7.665,7.43
7/22/2019,7.44,1543013,7.39,7.585,7.275
7/19/2019,7.39,1343485,7.19,7.5,7.1612
7/18/2019,7.16,1116357,6.98,7.2175,6.94
7/17/2019,7.02,863644,7.12,7.155,6.94
7/16/2019,7.13,799323,7.12,7.35,7.04
7/15/2019,7.11,2273468,7.05,7.22,6.98
7/12/2019,6.94,853919,6.86,7.06,6.82
7/11/2019,6.88,768300,6.89,6.93,6.74
7/10/2019,6.9,1650650,6.82,6.99,6.69
7/9/2019,6.71,2414284,6.76,6.785,6.2301
7/8/2019,6.85,1147924,6.8,6.97,6.7
7/5/2019,6.83,699291,6.53,6.87,6.53
7/3/2019,6.66,532768,6.7,6.71,6.56
7/2/2019,6.67,1066517,6.9,6.9,6.66
7/1/2019,6.92,1195183,7.02,7.1,6.84
6/28/2019,6.91,1230917,6.85,6.93,6.82
6/27/2019,6.82,940360,6.74,6.95,6.71
6/26/2019,6.73,1191733,6.85,6.86,6.62
6/25/2019,6.61,1569163,6.67,6.71,6.365
6/24/2019,6.67,1455949,6.91,7.03,6.63
6/21/2019,6.93,4987301,6.98,7.1295,6.84
6/20/2019,6.91,2832382,6.83,7.09,6.74
6/19/2019,6.56,1520306,6.56,6.63,6.44
6/18/2019,6.56,1726459,6.33,6.74,6.315
6/17/2019,6.24,1134396,6.15,6.305,6.09
6/14/2019,6.22,1601161,6.24,6.3393,6.13
6/13/2019,6.3,3184702,5.78,6.425,5.78
6/12/2019,5.69,697140,5.73,5.78,5.65
6/11/2019,5.81,1149216,5.83,5.96,5.78
6/10/2019,5.67,890213,5.69,5.8,5.64
6/7/2019,5.56,793125,5.53,5.6,5.37
6/6/2019,5.57,1009190,5.63,5.72,5.39
6/5/2019,5.62,966059,5.83,5.9,5.56
6/4/2019,5.8,1649579,5.71,5.83,5.66
6/3/2019,5.63,1563786,5.6,5.715,5.48
5/31/2019,5.59,1251479,5.72,5.8299,5.55
5/30/2019,5.83,911295,6.02,6.14,5.79
5/29/2019,6.03,837370,5.76,6.05,5.75
