date,close,volume,open,high,low
,,,,,
8/16/2019,6.92,2837800,6.98,7.03,6.7663
8/15/2019,7.03,2408535,6.9,7.1,6.8369
8/14/2019,6.89,3271336,6.88,6.995,6.82
8/13/2019,6.7,4435801,6.96,6.98,6.37
8/12/2019,6.82,2855286,7,7.13,6.81
8/9/2019,6.95,2078615,6.89,7.07,6.8647
8/8/2019,6.93,2384894,6.65,6.97,6.63
8/7/2019,6.74,3187965,6.82,6.93,6.71
8/6/2019,6.7,2493840,6.62,6.8,6.6
8/5/2019,6.62,3518973,6.6,6.79,6.56
8/2/2019,6.45,2423635,6.55,6.555,6.415
8/1/2019,6.59,3858362,6.01,6.6,5.96
7/31/2019,6.17,3802452,6.32,6.48,6.11
7/30/2019,6.41,4026289,6.45,6.56,6.3581
7/29/2019,6.44,1158200,6.3,6.455,6.24
7/26/2019,6.28,1102335,6.34,6.37,6.2
7/25/2019,6.26,1734731,6.39,6.4,6.2
7/24/2019,6.39,1714836,6.28,6.4,6.19
7/23/2019,6.21,2537760,6.3,6.37,6.09
7/22/2019,6.3,1671327,6.3,6.39,6.26
7/19/2019,6.29,3574736,6.42,6.58,6.22
7/18/2019,6.53,2699251,6.29,6.57,6.2
7/17/2019,6.3,2037666,6.2,6.33,6.14
7/16/2019,6.14,2697037,6.03,6.25,5.97
7/15/2019,6.06,1707544,6.15,6.265,6.03
7/12/2019,6.13,3274668,5.9,6.13,5.89
7/11/2019,5.88,2612924,5.85,5.97,5.81
7/10/2019,5.87,1935923,5.83,5.88,5.71
7/9/2019,5.77,2188615,5.57,5.77,5.52
7/8/2019,5.57,2172823,5.55,5.62,5.51
7/5/2019,5.56,2988846,5.55,5.6,5.4
7/3/2019,5.66,1545831,5.88,5.88,5.62
7/2/2019,5.81,3330839,5.68,5.85,5.57
7/1/2019,5.59,6543846,5.71,5.76,5.53
6/28/2019,5.91,32987400,5.75,5.92,5.55
6/27/2019,5.78,4420858,5.56,5.81,5.52
6/26/2019,5.66,4195714,5.4,5.69,5.36
6/25/2019,5.49,6254791,5.65,5.77,5.4101
6/24/2019,5.56,4340022,5.3,5.59,5.25
6/21/2019,5.22,6481319,5.19,5.335,5.06
6/20/2019,5.19,3408777,5.1,5.205,5.03
6/19/2019,4.94,2778772,4.69,4.96,4.69
6/18/2019,4.78,2940961,4.72,4.8,4.595
6/17/2019,4.66,2377722,4.58,4.67,4.4705
6/14/2019,4.46,2754812,4.49,4.61,4.44
6/13/2019,4.44,3112973,4.29,4.45,4.24
6/12/2019,4.24,1013018,4.19,4.29,4.17
6/11/2019,4.17,1755536,4.08,4.2,4.04
6/10/2019,4.08,1233930,4.1,4.18,4
6/7/2019,4.21,1391950,4.21,4.28,4.2
6/6/2019,4.21,1040876,4.17,4.245,4.17
6/5/2019,4.2,1291223,4.23,4.2791,4.12
6/4/2019,4.19,1394518,4.14,4.19,4.1
6/3/2019,4.17,1538364,4.09,4.19,4.08
5/31/2019,4.05,1654496,3.94,4.07,3.91
5/30/2019,3.89,1095473,3.78,3.9,3.69
5/29/2019,3.81,1101521,3.74,3.81,3.7243
5/28/2019,3.75,1111499,3.75,3.8,3.7
5/24/2019,3.77,1000657,3.86,3.86,3.735
5/23/2019,3.83,1190235,3.79,3.91,3.79
5/22/2019,3.79,743549,3.81,3.86,3.78
5/21/2019,3.83,479705,3.8,3.845,3.77
5/20/2019,3.81,749326,3.84,3.87,3.8
5/17/2019,3.87,1131733,3.83,3.88,3.8
